feature,information_set,orientation,scope,markets,large_n,failed_n,eq_market_mean_auc,eq_market_median_auc,markets_auc_gt_0_5,eq_market_large_median,eq_market_failed_median
e0_stage_changes63,E0,-1,2015-2019,2,8,39,0.645877192982456,0.645877192982456,2,1.5,2.75
e0_stage_changes63,E0,-1,2020-2026,7,26,140,0.43312146549209796,0.41578947368421054,2,2.2857142857142856,2.0
e0_fresh_trend_entries63,E0,-1,all,9,219,774,0.5111183740056966,0.46785958513790743,4,1.0555555555555556,1.0
e0_fresh_trend_entries63,E0,-1,2010-2014,5,24,52,0.35367132867132867,0.3333333333333333,0,1.3,1.0
e0_fresh_trend_entries63,E0,-1,2015-2019,2,8,39,0.5932017543859649,0.5932017543859649,2,1.0,1.5
e0_fresh_trend_entries63,E0,-1,2020-2026,7,26,140,0.4594307419937672,0.4666666666666667,2,1.2857142857142858,1.1428571428571428
e0_fresh_trend_entries126,E0,-1,all,9,183,623,0.47900223828594374,0.4793650793650794,3,2.5,2.4444444444444446
e0_fresh_trend_entries126,E0,-1,2010-2014,3,15,26,0.42268518518518516,0.4625,0,2.3333333333333335,2.0
e0_fresh_trend_entries126,E0,-1,2015-2019,1,4,18,0.6944444444444444,0.6944444444444444,1,2.0,3.0
e0_fresh_trend_entries126,E0,-1,2020-2026,5,18,73,0.4514500062845651,0.43333333333333335,2,2.6,2.3
e0_trend_occupancy63,E0,1,all,9,219,774,0.43886558044494195,0.443768115942029,1,0.7848324514991182,0.8430335097001763
e0_trend_occupancy63,E0,1,2010-2014,5,24,52,0.4476753570503571,0.5113636363636364,3,0.7904761904761906,0.8444444444444444
e0_trend_occupancy63,E0,1,2015-2019,2,8,39,0.44508771929824564,0.44508771929824564,1,0.8809523809523809,0.8531746031746033
e0_trend_occupancy63,E0,1,2020-2026,7,26,140,0.5089037911815444,0.47058823529411764,3,0.8537414965986395,0.8390022675736961
e0_trend_occupancy126,E0,1,all,9,183,623,0.46433925063207887,0.4426229508196721,3,0.8196649029982364,0.8381834215167548
e0_trend_occupancy126,E0,1,2010-2014,3,15,26,0.34027777777777773,0.3611111111111111,0,0.7619047619047619,0.8108465608465609
e0_trend_occupancy126,E0,1,2015-2019,1,4,18,0.3680555555555556,0.3680555555555556,0,0.9166666666666667,0.9365079365079365
e0_trend_occupancy126,E0,1,2020-2026,5,18,73,0.5290969079939668,0.59375,3,0.8468253968253968,0.8706349206349205
e5_cum_atr,E5,1,all,9,308,946,0.7761125903725333,0.7886728655959425,9,1.4648536938037942,-0.40777521935538535
e5_cum_atr,E5,1,2010-2014,7,40,99,0.7770234026625004,0.8166666666666667,7,0.7725624886277538,-0.7519603158068823
e5_cum_atr,E5,1,2015-2019,4,15,93,0.7668816690555821,0.7728937728937729,4,1.5999436531109297,-0.07453236271761798
e5_cum_atr,E5,1,2020-2026,7,32,182,0.7226084279708803,0.8133333333333334,6,0.7110764288024262,-0.07158663036641687
e5_mfe_atr,E5,1,all,9,308,946,0.7631545183003556,0.7656801520499593,9,1.8913349864779105,0.42094011490555877
e5_mfe_atr,E5,1,2010-2014,7,40,99,0.7155424274973148,0.7416666666666667,6,1.3601046472097018,0.4107689864715657
e5_mfe_atr,E5,1,2015-2019,4,15,93,0.7061643971970059,0.738415750915751,4,1.8591864619132281,0.6644723557225354
e5_mfe_atr,E5,1,2020-2026,7,32,182,0.7092831354846982,0.7741935483870968,6,0.9287848444105585,0.48457356017867154
e5_giveback_atr,E5,-1,all,9,308,946,0.6750586218173225,0.6868932038834952,9,0.18401037026995593,0.9176311686168036
e5_giveback_atr,E5,-1,2010-2014,7,40,99,0.6927621000553331,0.6754385964912281,7,0.45058542364606435,1.3530678507234914
e5_giveback_atr,E5,-1,2015-2019,4,15,93,0.6765567765567766,0.6666666666666667,4,0.20067852594057492,0.7619752518569074
e5_giveback_atr,E5,-1,2020-2026,7,32,182,0.6714903033252061,0.7,6,0.14870069931881455,0.5778625053712826
e5_dir_eff,E5,1,all,9,308,946,0.7554337968396588,0.7645940809122997,9,0.42399408578081715,-0.16524306735419705
e5_dir_eff,E5,1,2010-2014,7,40,99,0.7651173388015494,0.8,7,0.23754500348439142,-0.23108892218542487
