stage,stage_name,current_age,additional_horizon,markets,episodes_at_risk_total,survivor_episodes_total,equal_market_probability_remain_same,equal_market_median_survivor_move_current_atr,equal_market_mean_survivor_move_current_atr,equal_market_survivor_positive_rate,markets_survivor_median_positive,markets_survivor_median_negative
2,Markup,20,20,9,446,261,0.5956816430404339,0.5895021559062312,1.2196270162587772,0.6034632034632035,8,1
2,Markup,40,5,9,261,216,0.8258070119181231,-0.17710221043765262,0.014913760938701396,0.44305165417555303,4,5
2,Markup,40,10,9,261,170,0.6441531719309497,0.29464772056053795,0.6012201830389684,0.5339995897348839,4,5
2,Markup,40,20,9,261,112,0.4271979049756827,1.8093356495858468,2.1364794720672315,0.6776787482669835,8,1
3,Reaccumulation,0,5,5,16,8,0.5166666666666666,-1.1065894089511796,-1.1065894089511796,0.2,0,5
3,Reaccumulation,0,10,4,14,5,0.375,-0.5016442989141197,-0.5016442989141197,0.375,1,3
3,Reaccumulation,5,5,4,7,5,0.75,0.35610068924454885,0.35610068924454885,0.5,2,2
4,Distribution,0,5,9,412,293,0.7079615316171001,-0.27001284152472727,-0.2341451198809445,0.4302453314081221,2,7
4,Distribution,0,10,9,412,200,0.4907347319809495,-0.26302979985564506,-0.27695869407490087,0.49281895768485806,4,4
4,Distribution,0,20,9,412,89,0.2172513963157384,-0.5742074361940754,-0.6627525051409858,0.42363963197296534,4,5
4,Distribution,5,5,9,293,200,0.6944845630892142,-0.12243205400419248,-0.07417564282953668,0.5018350260495854,3,6
4,Distribution,5,10,9,293,131,0.4573566620078248,-0.375189265347499,-0.38545486738786106,0.43517544490925836,3,6
4,Distribution,5,20,9,293,58,0.20633932029280866,-0.3942304107728545,-0.7049775314529723,0.43174603174603177,3,6
4,Distribution,10,5,9,200,131,0.6591498086134101,-0.38125053829721195,-0.3511567036090909,0.3905336318009625,2,7
4,Distribution,10,10,9,200,89,0.44558577934056864,-0.5142655463425865,-0.47704028895011674,0.40434380434380435,3,6
4,Distribution,10,20,9,200,44,0.2236383724123188,-0.3709683276127366,-0.2560435312409066,0.373015873015873,2,7
4,Distribution,20,5,9,89,58,0.6752830502830504,0.304852044147837,-0.019781356263318756,0.5638007054673722,6,3
4,Distribution,20,10,9,89,44,0.5101198184531518,0.5076996948597928,0.2624779860173682,0.6246031746031746,6,3
4,Distribution,20,20,8,78,22,0.285412851037851,-1.0426366437946215,-1.094387932926665,0.4458333333333333,3,5
4,Distribution,40,5,8,22,12,0.6604166666666667,0.5306018538369585,0.5306018538369585,0.5625,5,3
4,Distribution,40,10,4,12,4,0.4875,0.23408834746555998,0.23408834746555998,0.5,2,2
4,Distribution,40,20,2,6,2,0.6,1.784922011055111,1.784922011055111,0.5,1,1
5,Markdown,0,5,9,819,736,0.9061173776889001,-0.28262694551040357,-0.30552271448848356,0.4346859690830962,1,8
5,Markdown,0,10,9,818,632,0.774709795436327,-0.7457800370841421,-0.9070127988759498,0.3448840350096243,0,9
5,Markdown,0,20,9,818,490,0.598441626903611,-1.5300880856967098,-2.400443711014834,0.27418431046685626,0,9
5,Markdown,5,5,9,735,632,0.855364575124433,-0.352223842676877,-0.3198621186100927,0.4238503469731231,1,8
5,Markdown,5,10,9,735,559,0.7529156188257075,-0.6470104987421483,-0.9500078744289837,0.3826516007701756,0,9
5,Markdown,5,20,9,735,420,0.5647036195663522,-1.6732077778294365,-2.480520734344781,0.27107730501017147,1,8
5,Markdown,10,5,9,632,559,0.8799504620094374,-0.12091258509208298,-0.4134494536254931,0.4907077790342499,3,5
5,Markdown,10,10,9,632,490,0.7718606813269525,-0.5519371202255796,-0.9421293713920574,0.41859154815197885,2,7
5,Markdown,10,20,9,632,363,0.5627345610302351,-1.686702760089096,-2.4372927314751625,0.3267742826403972,1,8
5,Markdown,20,5,9,490,420,0.8558067950465893,-0.1458370101431179,-0.185053347441041,0.4707535201799256,3,6
5,Markdown,20,10,9,490,363,0.7285089929235702,-0.6657409626805646,-0.6453379529161665,0.42415918360707866,2,7
5,Markdown,20,20,9,490,273,0.5366275798371587,-1.7613670491454316,-2.1664476991969144,0.27488460626577477,0,9
5,Markdown,40,5,9,273,239,0.8637923773110008,-0.13136573766780585,-0.15557356402213068,0.4746515303790846,2,7
5,Markdown,40,10,9,273,213,0.75871627846954,-0.31753982044879375,-0.7924986385808646,0.42902529569196235,3,6
5,Markdown,40,20,9,273,161,0.5655467797295175,-2.3865333475037573,-2.611864813989419,0.29483370002693676,0,9
6,Redistribution,0,5,2,2,2,1.0,0.47688948675298537,0.47688948675298537,0.5,1,1
6,Redistribution,0,10,1,1,1,1.0,0.4500303763432127,0.4500303763432127,1.0,1,0
6,Redistribution,5,5,1,1,1,1.0,-2.257981476049878,-2.257981476049878,0.0,0,1
