feature,information_set,family,quality_quintile,markets,episodes,eq_market_large_share,eq_market_failed_share
e10_mae_atr,E10,adverse_excursion,4,9,219,0.26004027900579624,0.4913089039525821
e10_mae_atr,E10,adverse_excursion,5,9,289,0.3715025064661293,0.351730085811301
e10_max_pullback_atr,E10,pullback,1,9,256,0.1494050084567326,0.7316440825061514
e10_max_pullback_atr,E10,pullback,2,9,252,0.20754050259297635,0.6172953170204544
e10_max_pullback_atr,E10,pullback,3,9,251,0.23778415025291588,0.5496912588679206
e10_max_pullback_atr,E10,pullback,4,9,252,0.22968458927979166,0.5809928190487911
e10_max_pullback_atr,E10,pullback,5,9,256,0.2826763956074301,0.4251001617380928
e10_activity_ratio20,E10,activity_expansion,1,9,205,0.14511743046225806,0.694239580192927
e10_activity_ratio20,E10,activity_expansion,2,9,204,0.15987337531896134,0.6727981592134076
e10_activity_ratio20,E10,activity_expansion,3,9,203,0.20014005602240897,0.5990479019890784
e10_activity_ratio20,E10,activity_expansion,4,9,204,0.23126968898200928,0.5612393489190385
e10_activity_ratio20,E10,activity_expansion,5,9,208,0.33304707830106417,0.43892839932420946
e10_bars_to_half_atr,E10,response_speed,1,9,295,0.09553004847122494,0.8138581373875492
e10_bars_to_half_atr,E10,response_speed,2,9,203,0.19572596094425906,0.5602178738672992
e10_bars_to_half_atr,E10,response_speed,3,9,243,0.2391109162711442,0.5579875905325719
e10_bars_to_half_atr,E10,response_speed,4,8,186,0.2561936460034286,0.46232683046541745
e10_bars_to_half_atr,E10,response_speed,5,9,340,0.2995658027799852,0.4687590858124012
