feature,information_set,quality_quintile,markets,episodes,eq_market_large_share,eq_market_failed_share,eq_market_pg_return
e0_disp20_atr,E0,5,9,271,0.20365224174490273,0.6387240896298563,0.4178339788447961
e0_disp63_atr,E0,1,9,235,0.0998557868075412,0.8118823424353554,-0.3084973876645431
e0_disp63_atr,E0,2,9,232,0.1708543771043771,0.6679826038159372,0.4757910647705608
e0_disp63_atr,E0,3,9,232,0.16308563798660006,0.6701382762067785,0.5100149664785565
e0_disp63_atr,E0,4,9,232,0.19686167227833895,0.6723372615039281,0.6629133328563932
e0_disp63_atr,E0,5,9,235,0.21812192618733428,0.6204835085241264,0.19873725058433866
e0_disp126_atr,E0,1,9,192,0.09880111905973975,0.7548658557279246,-0.1828563012624527
e0_disp126_atr,E0,2,9,187,0.1592848020434227,0.6866648421820836,0.31855701347522547
e0_disp126_atr,E0,3,9,186,0.21555331003606865,0.6258375529155928,0.6568274270682221
e0_disp126_atr,E0,4,9,187,0.1938350665936873,0.7008794015690568,0.5256944305356114
e0_disp126_atr,E0,5,9,194,0.20076405076405077,0.6544612794612794,0.4637923796513562
e0_escape63_atr,E0,1,9,235,0.1413401878752756,0.7560630921643507,-0.18545734897474916
e0_escape63_atr,E0,2,9,232,0.15773288439955105,0.7297390572390572,0.4148796696208361
e0_escape63_atr,E0,3,9,232,0.15000377607498494,0.6997443104785445,0.36521996345160884
e0_escape63_atr,E0,4,9,232,0.17377525252525253,0.6316119528619528,0.423259429821193
e0_escape63_atr,E0,5,9,235,0.22351860962272863,0.6286614867068718,0.49622469384000023
e0_escape126_atr,E0,1,9,192,0.13233339138511552,0.7383416392037082,-0.2761265167011965
e0_escape126_atr,E0,2,9,187,0.16070425104907865,0.6718281335522716,0.04256034373285694
e0_escape126_atr,E0,3,9,186,0.1711580454230182,0.724587079251326,0.49938289653004087
e0_escape126_atr,E0,4,9,187,0.16440430578361612,0.6428279511038132,0.7490028413393316
e0_escape126_atr,E0,5,9,194,0.23582297332297333,0.645001295001295,0.7483245685406419
e0_escape252_atr,E0,1,8,131,0.14611158857482387,0.6635082442067737,0.26980560121091024
e0_escape252_atr,E0,2,8,128,0.14390756302521007,0.7013597105508871,0.18212194792751044
e0_escape252_atr,E0,3,8,126,0.19866217320261437,0.6998789098972923,-0.12186350725914144
e0_escape252_atr,E0,4,8,128,0.2139297385620915,0.6650151727357609,0.915639573850019
e0_escape252_atr,E0,5,8,133,0.19919056637806637,0.6695797258297258,0.4663627189505048
e0_range_pos63,E0,1,9,235,0.13377262030770803,0.7736608529686333,-0.17497954612851138
e0_range_pos63,E0,2,9,232,0.1464632435465769,0.7270496632996634,0.3278124986409861
e0_range_pos63,E0,3,9,232,0.15714472894192882,0.6854344127843796,0.5507582473947823
e0_range_pos63,E0,4,9,232,0.18303451178451177,0.6271520763187429,0.3128490200257263
e0_range_pos63,E0,5,9,235,0.2265216126257316,0.6315810729597915,0.5070576879587028
e0_range_pos126,E0,1,9,192,0.0785944100599273,0.8210627495110254,-0.30425086767794457
e0_range_pos126,E0,2,9,187,0.17933771209633279,0.6458091589126072,-0.10311680531033178
e0_range_pos126,E0,3,9,186,0.19894516722102928,0.6621032540088801,0.9170940172897555
e0_range_pos126,E0,4,9,187,0.1914942528735632,0.6419722678343368,0.7766193621227564
e0_range_pos126,E0,5,9,194,0.21797461797461798,0.6492521367521368,0.4869754188748768
e0_range_pos252,E0,1,8,131,0.08774960741872506,0.7810863360495713,0.3468200955462899
e0_range_pos252,E0,2,8,128,0.16497432306255835,0.6594596171802054,0.19535007578688723
e0_range_pos252,E0,3,8,126,0.1845515289449113,0.6947435224089635,-0.04299316845222163
e0_range_pos252,E0,4,8,128,0.2589810924369748,0.606063258636788,0.5636284343057684
e0_range_pos252,E0,5,8,133,0.20613501082251082,0.655690836940837,0.632797069890088
e0_stage_changes20,E0,1,9,200,0.13876154643583233,0.7344712695315819,0.0026498205153463305
e0_stage_changes20,E0,2,7,492,0.19730760665689367,0.6391934361411563,0.4974593653804164
e0_stage_changes20,E0,3,2,122,0.0915948275862069,0.736260775862069,0.3399328051053976
e0_stage_changes20,E0,4,4,298,0.22132859121632176,0.6323188639748383,0.5261155806999194
e0_stage_changes20,E0,5,5,229,0.10684499355231063,0.7583102392858491,-0.14594577265192482
e0_stage_changes63,E0,1,9,222,0.19395453410102947,0.6543374727989897,0.30100120509667655
e0_stage_changes63,E0,2,8,274,0.15179554227953618,0.6990204248664614,0.1015468678534564
e0_stage_changes63,E0,3,7,211,0.18265928654692257,0.644043559618616,0.0694633039140384
e0_stage_changes63,E0,4,6,196,0.2028948618441974,0.7021994785699105,0.9483158116602318
e0_stage_changes63,E0,5,9,263,0.09975002241951395,0.788086457118943,-0.16144329417429845
e0_fresh_trend_entries63,E0,1,9,210,0.17998220490205047,0.6562295278556811,0.08456967215754785
e0_fresh_trend_entries63,E0,2,5,194,0.16035482669606657,0.7356961311428164,0.07716971914789325
e0_fresh_trend_entries63,E0,3,7,382,0.19574148655953014,0.6372143154509956,0.40724456874878706
e0_fresh_trend_entries63,E0,4,2,81,0.07254901960784313,0.8254901960784313,0.2046551737606959
e0_fresh_trend_entries63,E0,5,9,299,0.17001713421331632,0.6902628928329742,0.45001771134506796
e0_fresh_trend_entries126,E0,1,9,181,0.2220504568508198,0.6275459689328413,0.47483616270293816
e0_fresh_trend_entries126,E0,2,8,202,0.1659458162541654,0.6923815958445939,0.2526685121653741
e0_fresh_trend_entries126,E0,3,7,193,0.11074566076248567,0.7698323129989236,0.019386589855658727
e0_fresh_trend_entries126,E0,4,5,154,0.1726863226863227,0.6739199662044489,0.4516353328919645
e0_fresh_trend_entries126,E0,5,9,216,0.18309619609429856,0.6553571511944377,0.38554074485163414
e0_trend_occupancy63,E0,1,9,238,0.18614159391714694,0.7099606131595072,-0.0836309954644477
e0_trend_occupancy63,E0,2,9,226,0.21196741234150934,0.6118067499904445,0.7981376727762055
e0_trend_occupancy63,E0,3,9,236,0.19266229605124946,0.6400160199185421,0.4739533642271976
e0_trend_occupancy63,E0,4,9,220,0.13031302470457892,0.685453629005603,0.23594607680569052
e0_trend_occupancy63,E0,5,9,246,0.12478372829250023,0.7933082187468153,0.04249329487838642
e0_trend_occupancy126,E0,1,9,191,0.20816866722039137,0.6559102965999517,0.5708314846539091
e0_trend_occupancy126,E0,2,9,186,0.1712681349704943,0.6891238005121854,0.3830696544059165
e0_trend_occupancy126,E0,3,9,194,0.17345751307906063,0.6749341423914479,0.46128882071344346
e0_trend_occupancy126,E0,4,9,181,0.19521475256769374,0.6395388924800689,0.37201405366555296
e0_trend_occupancy126,E0,5,9,194,0.11486518111518113,0.7701846764346764,-0.08623647063809996
e5_cum_atr,E5,1,9,306,0.059443970551050725,0.8737600846259289,-0.5313895714538136
e5_cum_atr,E5,2,9,300,0.09856168095415672,0.8154618444305716,0.08747799048959669
e5_cum_atr,E5,3,9,299,0.17449967946942802,0.638001052503794,0.6161739768614992
e5_cum_atr,E5,4,9,300,0.17944011607132154,0.594234347668937,0.26661848455068493
e5_cum_atr,E5,5,9,307,0.41172492272161737,0.31906708381409626,1.5824608357057508
e5_mfe_atr,E5,1,9,349,0.08699284189176756,0.8371821738926501,-0.140088899187204
e5_mfe_atr,E5,2,9,257,0.12804558933270493,0.7534110175038948,0.013184688401911273
e5_mfe_atr,E5,3,9,299,0.12630227719942222,0.712508838524626,0.20552500925206071
e5_mfe_atr,E5,4,9,300,0.17552403269017736,0.6248719616665395,0.30941159317172123
e5_mfe_atr,E5,5,9,307,0.42097585156318945,0.299842410699263,1.596749424119897
e5_giveback_atr,E5,1,9,306,0.09721103462305176,0.8067929309673649,-0.3795912740430805
e5_giveback_atr,E5,2,9,300,0.10619616533282715,0.761509245913444,0.16148873391220586
e5_giveback_atr,E5,3,9,299,0.2049839211351312,0.617921523411219,0.6278544186989129
e5_giveback_atr,E5,4,9,216,0.20673528005987937,0.628447021225187,0.8726558973204659
e5_giveback_atr,E5,5,9,391,0.2862343782201109,0.471660780381366,0.7226332816408378
e5_dir_eff,E5,1,9,306,0.06270118032999965,0.8664686642910304,-0.3910460593773723
e5_dir_eff,E5,2,9,300,0.08562932183807544,0.8164634212104454,-0.12390174540660566
e5_dir_eff,E5,3,9,299,0.19169045022609021,0.6214501163860684,0.683736997925231
e5_dir_eff,E5,4,9,300,0.21821436078872555,0.5483850088319989,0.4274928271992335
e5_dir_eff,E5,5,9,307,0.36597833521301615,0.3864679429769692,1.4225778972636203
e10_cum_atr,E10,1,9,256,0.06845478483409519,0.8782977147919677,-0.864310684395993
e10_cum_atr,E10,2,9,252,0.09008910388220732,0.7673884707867716,-0.18181308352915126
e10_cum_atr,E10,3,9,251,0.17221690080885482,0.6457505374296979,0.4152951392326335
e10_cum_atr,E10,4,9,252,0.274433114488087,0.4502364469131086,1.405382124939476
e10_cum_atr,E10,5,9,256,0.4992032878527131,0.16538365130319155,2.243770113113323
e10_mfe_atr,E10,1,9,256,0.09074791129388832,0.8313096347579106,-0.3849712098055532
e10_mfe_atr,E10,2,9,252,0.0978734892527996,0.7589278362391805,-0.018095094144752834
e10_mfe_atr,E10,3,9,251,0.14857538162135864,0.672401795134179,0.5040174709735418
e10_mfe_atr,E10,4,9,252,0.2743683535037858,0.46509913568884076,0.7714172441425662
e10_mfe_atr,E10,5,9,256,0.49305430224970453,0.1790127565989635,2.1502184448516797
e10_giveback_atr,E10,1,9,256,0.1084197703450577,0.7888866493751551,-0.937629462043012
e10_giveback_atr,E10,2,9,252,0.19726226547815753,0.6586488823370382,0.18340849268156684
e10_giveback_atr,E10,3,9,251,0.24381103099244028,0.5272840431636034,1.3967737107682012
e10_giveback_atr,E10,4,9,228,0.2223634495614255,0.6003728570540989,0.8248679035728723
e10_giveback_atr,E10,5,9,280,0.33237376386703193,0.3486728287126084,1.5233535404905698
e10_dir_eff,E10,1,9,256,0.05226815485436175,0.8830202945145474,-0.8477517333028054
e10_dir_eff,E10,2,9,252,0.10953375378662736,0.7518586552569562,-0.1690694417958679
e10_dir_eff,E10,3,9,251,0.22924328179825432,0.5930343360065999,0.8754004616343114
e10_dir_eff,E10,4,9,252,0.262602646910493,0.46333018604382925,0.9879431875854287
e10_dir_eff,E10,5,9,256,0.45268571116272266,0.2131905920699024,2.188412721537139
