scope,dimension,checkpoint,progress_q,eff_q,markets,pooled_n,future_net_atr_eq_market_mean,future_net_atr_eq_market_median,future_mfe_atr_eq_market_mean,future_mfe_atr_eq_market_median,future_mae_atr_eq_market_mean,future_mae_atr_eq_market_median,future_plus2_eq_market_mean,future_plus2_eq_market_median,future_plus4_eq_market_mean,future_plus4_eq_market_median,remaining_bars_eq_market_mean,remaining_bars_eq_market_median
all,joint,10,3.0,3.0,9,189,0.751604732757849,0.32857431408061187,5.044939606153402,3.5264885652885575,2.274738772593843,2.0242911519074175,0.5137170572696889,0.5,0.3229493973567563,0.29411764705882354,37.703696827865164,35.411764705882355
all,joint,10,3.0,4.0,9,47,-0.2896633170965749,-0.03628158478952283,2.8485268223604823,2.1532276544022253,2.199249939067373,1.824019951943944,0.4465167548500882,0.4,0.2575396825396825,0.25,31.08536155202822,28.733333333333334
all,joint,10,3.0,5.0,3,5,-1.6376899775425238,-1.9136438517803005,2.156165310588805,1.8002676578089223,4.3710355506930345,3.0982458766137593,0.1111111111111111,0.0,0.0,0.0,27.777777777777775,26.666666666666668
all,joint,10,4.0,3.0,9,49,4.898065296977583,2.0541041418676163,9.943329200239297,6.423151885978663,1.927590646804369,1.716814293079145,0.6259018759018759,0.6666666666666666,0.43134920634920636,0.4,49.80980376574104,45.733333333333334
all,joint,10,4.0,4.0,9,125,0.8815503286169352,0.49425689296607956,5.812441237955382,4.681579976504315,2.8150240609347147,2.132185928373048,0.5838171648053363,0.5769230769230769,0.4096643518518518,0.4,40.38850370436396,39.92307692307692
all,joint,10,4.0,5.0,9,70,0.8923280201380658,0.30725276618694343,5.569408401295984,3.4046931065734933,2.8656539632994437,2.426491533222639,0.6031986531986532,0.6,0.39836002886002886,0.4,44.251459115814744,40.4
all,joint,10,5.0,3.0,3,3,-4.248881718568381,-4.653677685355201,0.8179927159757092,0.7311582560344399,5.033491478666449,4.978103001295656,0.3333333333333333,0.0,0.0,0.0,25.666666666666668,23.0
all,joint,10,5.0,4.0,9,72,0.9321106251285595,0.5996279245058078,7.088861736864544,5.526254882091785,3.325994725621038,2.853581174125516,0.5476600985228437,0.5454545454545454,0.40665408057134623,0.4,44.58746384479718,40.81818181818182
all,joint,10,5.0,5.0,9,173,1.1470404975262973,1.035278094827107,7.713633067066057,6.021660030151212,3.651705535266673,2.773522599061084,0.6168962372853627,0.625,0.4379189909351203,0.42857142857142855,45.20705785087615,42.857142857142854
2010-2014,progress,5,1.0,,9,52,-0.44853900457108295,-0.4205183708182946,2.156878955902005,1.761078697591588,0.8041131622356296,0.7502749654119081,0.35185185185185186,0.3333333333333333,0.2222222222222222,0.25,15.753968253968253,13.833333333333334
2010-2014,progress,5,2.0,,9,56,0.08014330701270397,-0.25090651995688144,4.321407121911194,2.7476326687300467,2.329829788279824,1.5574647076987845,0.337037037037037,0.3333333333333333,0.11851851851851852,0.0,27.646296296296295,20.25
2010-2014,progress,5,3.0,,9,48,1.5570229209996512,0.41257938925920255,5.420780309278026,4.455976185596167,1.6303006384319648,1.5254905868069448,0.4222222222222222,0.5,0.3638888888888889,0.375,42.68888888888889,43.0
2010-2014,progress,5,4.0,,9,30,-2.2843427190987907,-0.22915830769287288,2.283968268091445,1.7992057132527776,3.1793964181159825,2.169886944015553,0.3111111111111111,0.3333333333333333,0.17777777777777778,0.0,27.31851851851852,20.0
2010-2014,progress,5,5.0,,9,46,-0.30427788283265483,0.29380295870916473,5.552140821563973,4.803301569204107,2.491223352390948,2.045889669706069,0.6707669616519174,0.6666666666666666,0.5236772486772487,0.5,45.20004435117328,41.5
2010-2014,efficiency,5,,1.0,9,58,0.4476938299227893,0.15992666620871096,3.2988381544767775,2.5509828680576887,0.7084845204632801,0.7502749654119081,0.3238095238095238,0.3333333333333333,0.23333333333333334,0.25,17.226190476190474,14.833333333333334
2010-2014,efficiency,5,,2.0,9,53,-1.837902676479248,-0.40480279176992006,2.9630110703803325,2.305448235039117,2.2558053277662728,1.5574647076987845,0.36574074074074076,0.3333333333333333,0.1259259259259259,0.0,26.74537037037037,20.25
2010-2014,efficiency,5,,3.0,9,55,0.8963358143037661,0.3140138205509767,4.918913981769249,3.710542878440485,2.3343884382041193,1.5254905868069448,0.44814814814814813,0.5,0.3166666666666667,0.375,38.0462962962963,43.0
2010-2014,efficiency,5,,4.0,9,33,-0.04045176019180557,-0.14049954437431448,3.090804576082411,2.595324033646595,3.26096195132404,2.169886944015553,0.3666666666666667,0.3333333333333333,0.2111111111111111,0.0,33.01759259259259,20.0
2010-2014,efficiency,5,,5.0,9,44,-1.037569474296445,-0.16364445842464855,4.425231503005659,4.328076617531389,1.9790868620032067,2.045889669706069,0.6247795414462082,0.6666666666666666,0.4326289682539682,0.5,38.82636684303351,41.5
2010-2014,joint,5,1.0,1.0,9,43,-0.806866277190532,-0.4205183708182946,2.0298060507793943,1.761078697591588,0.7713815068605678,0.7502749654119081,0.3333333333333333,0.3333333333333333,0.2222222222222222,0.25,15.555555555555555,13.833333333333334
2010-2014,joint,5,1.0,2.0,4,9,3.769255464563753,1.856916615499609,6.069054050297441,3.2495753040917557,0.7228454922437844,1.2300413532378883,0.5,0.5,0.3333333333333333,0.25,22.583333333333332,21.0
2010-2014,joint,5,2.0,1.0,4,9,2.0624493089414336,1.3019979232291744,4.434250149075451,3.4365634121330735,1.0199379670437956,1.0457793742138148,0.5,0.5,0.25,0.25,25.75,23.5
2010-2014,joint,5,2.0,2.0,9,45,-1.2533473717214737,-0.25090651995688144,4.231841432719107,2.7476326687300467,2.4355980839126425,1.5574647076987845,0.3111111111111111,0.3333333333333333,0.08888888888888889,0.0,28.08888888888889,20.25
2010-2014,joint,5,2.0,3.0,2,2,-4.242569880091073,-4.242569880091073,4.458513888949641,4.458513888949641,5.401083769040713,5.401083769040713,0.0,0.0,0.0,0.0,20.0,20.0
2010-2014,joint,5,3.0,2.0,4,4,-0.7618221883855591,-0.8493513919778021,2.069746114010199,1.7013025152131545,3.014594653348744,2.874797328276045,0.5,0.5,0.5,0.5,39.25,37.0
2010-2014,joint,5,3.0,3.0,9,36,1.9797871685913547,0.41257938925920255,5.606539236639833,4.455976185596167,1.4557109364369792,1.5254905868069448,0.4444444444444444,0.5,0.3611111111111111,0.375,42.629629629629626,43.0
