feature,information_set,family,orientation,scope,markets,large_n,failed_n,eq_market_mean_auc,eq_market_median_auc,markets_auc_gt_0_5,eq_market_large_median,eq_market_failed_median
e5_mae_atr,E5,adverse_excursion,-1,2015-2019,4,15,93,0.6833243749004618,0.6675027870680045,4,0.15666503620175526,0.6452267083412822
e5_mae_atr,E5,adverse_excursion,-1,2020-2026,7,32,182,0.7328890336271623,0.74,7,0.1590925194550319,0.762784742770832
e5_max_pullback_atr,E5,pullback,-1,all,9,308,946,0.6515310438258404,0.6637252240021722,9,0.8409443097601303,1.3479200027466052
e5_max_pullback_atr,E5,pullback,-1,2010-2014,7,40,99,0.6727562412524818,0.6761904761904762,6,1.1901545897190715,1.7315654114259273
e5_max_pullback_atr,E5,pullback,-1,2015-2019,4,15,93,0.6842849179805701,0.7101449275362319,4,0.5402362171542316,1.065781312842852
e5_max_pullback_atr,E5,pullback,-1,2020-2026,7,32,182,0.6926219549501457,0.7391304347826086,6,0.5482701230528174,0.9698661939720358
e5_activity_ratio20,E5,activity_expansion,1,all,9,244,786,0.5927245473404118,0.5705741626794258,9,1.0797927287355376,0.9056576405370755
e5_activity_ratio20,E5,activity_expansion,1,2010-2014,5,26,52,0.6257720057720058,0.6111111111111112,4,1.1811266977383235,0.9264982075234298
e5_activity_ratio20,E5,activity_expansion,1,2015-2019,2,8,43,0.5653679653679653,0.5653679653679653,1,1.0941300159678122,0.950201398868596
e5_activity_ratio20,E5,activity_expansion,1,2020-2026,7,26,146,0.5446809331019857,0.51,4,1.0047366396887625,0.9172937662569358
e5_bars_to_half_atr,E5,response_speed,-1,all,9,308,946,0.6846172156659999,0.6775599128540305,9,2.0555555555555554,5.888888888888889
e5_bars_to_half_atr,E5,response_speed,-1,2010-2014,7,40,99,0.630272759821632,0.7,4,3.4285714285714284,5.071428571428571
e5_bars_to_half_atr,E5,response_speed,-1,2015-2019,4,15,93,0.6071159818442426,0.5961438923395446,4,2.75,4.25
e5_bars_to_half_atr,E5,response_speed,-1,2020-2026,7,32,182,0.6708826894737534,0.6693548387096774,7,3.2142857142857144,5.428571428571429
e10_cum_atr,E10,baseline_progress,1,all,9,308,703,0.8418663794768173,0.8432432432432433,9,2.547761539960113,-0.29184130943773146
e10_cum_atr,E10,baseline_progress,1,2010-2014,7,40,70,0.8555102040816326,0.8571428571428571,7,2.005497129157127,-0.6604662498703161
e10_cum_atr,E10,baseline_progress,1,2015-2019,4,15,67,0.9049768518518518,0.95,4,2.474755940356428,-0.002312972823255443
e10_cum_atr,E10,baseline_progress,1,2020-2026,7,32,146,0.7775430207679309,0.8083333333333333,7,1.8705979782431381,-0.01473677879682757
e10_dir_eff,E10,baseline_efficiency,1,all,9,308,703,0.8147252394449462,0.8139204545454546,9,0.35159140731270405,-0.04904603180361893
e10_dir_eff,E10,baseline_efficiency,1,2010-2014,7,40,70,0.8349092970521542,0.875,7,0.2593619129855218,-0.10149578953837249
e10_dir_eff,E10,baseline_efficiency,1,2015-2019,4,15,67,0.8578703703703704,0.8777777777777778,4,0.417078165678164,-0.004280458704059059
e10_dir_eff,E10,baseline_efficiency,1,2020-2026,7,32,146,0.7642435972609232,0.7888888888888889,7,0.3799016148619903,0.007967495200027288
e10_favorable_day_share,E10,consistency,1,all,9,308,703,0.6967142761065397,0.7136678200692042,9,0.5944444444444444,0.47777777777777775
e10_favorable_day_share,E10,consistency,1,2010-2014,7,40,70,0.7764427437641723,0.7395833333333334,7,0.5928571428571429,0.43571428571428567
e10_favorable_day_share,E10,consistency,1,2015-2019,4,15,67,0.7107060185185186,0.759375,3,0.6124999999999999,0.475
e10_favorable_day_share,E10,consistency,1,2020-2026,7,32,146,0.6947365610368225,0.6684782608695652,6,0.6,0.5142857142857143
e10_new_high_rate,E10,extension,1,all,9,308,703,0.7589289096290712,0.7646026831785345,9,0.4166666666666667,0.21111111111111114
e10_new_high_rate,E10,extension,1,2010-2014,7,40,70,0.7956122448979591,0.8035714285714286,7,0.39285714285714285,0.17142857142857143
e10_new_high_rate,E10,extension,1,2015-2019,4,15,67,0.7326388888888888,0.8041666666666667,3,0.45,0.2375
e10_new_high_rate,E10,extension,1,2020-2026,7,32,146,0.795467684912765,0.7982456140350878,7,0.42142857142857143,0.2357142857142857
e10_mae_atr,E10,adverse_excursion,-1,all,9,308,703,0.7237334726970732,0.7265151515151516,9,0.2984069392191298,1.274717732978423
e10_mae_atr,E10,adverse_excursion,-1,2010-2014,7,40,70,0.7380839002267574,0.775,6,0.7651395514702626,1.8081753000029601
e10_mae_atr,E10,adverse_excursion,-1,2015-2019,4,15,67,0.7492476851851851,0.7064814814814815,4,0.15666503620175526,0.8773398067809884
e10_mae_atr,E10,adverse_excursion,-1,2020-2026,7,32,146,0.7288422704449183,0.7719298245614035,7,0.2315754547005395,0.8669726781395547
e10_max_pullback_atr,E10,pullback,-1,all,9,308,703,0.6048428316254915,0.5988917306052856,9,1.689388463216292,2.0378336306238407
e10_max_pullback_atr,E10,pullback,-1,2010-2014,7,40,70,0.6067346938775511,0.575,6,1.972720086676121,2.297186317453001
e10_max_pullback_atr,E10,pullback,-1,2015-2019,4,15,67,0.7436342592592593,0.7268518518518519,4,0.950863340363694,1.7858224806263912
e10_max_pullback_atr,E10,pullback,-1,2020-2026,7,32,146,0.6233641816757214,0.5857142857142857,7,1.257219101070937,1.5299005235326484
e10_activity_ratio20,E10,activity_expansion,1,all,9,244,578,0.6516618413982166,0.6260162601626016,9,1.1015971753526315,0.9122291613778306
e10_activity_ratio20,E10,activity_expansion,1,2010-2014,5,26,37,0.6664965986394558,0.6122448979591837,4,1.0822665672411378,0.900431199902744
e10_activity_ratio20,E10,activity_expansion,1,2015-2019,2,8,30,0.5733333333333334,0.5733333333333334,1,0.9652474304233336,0.9621693739739506
e10_activity_ratio20,E10,activity_expansion,1,2020-2026,7,26,113,0.7123450864826363,0.725,7,1.1271846376354742,0.863915624877146
e10_bars_to_half_atr,E10,response_speed,-1,all,9,308,703,0.671841323644854,0.6711423699914748,9,2.0555555555555554,4.833333333333333
e10_bars_to_half_atr,E10,response_speed,-1,2010-2014,7,40,70,0.5915136054421769,0.6733333333333333,4,3.857142857142857,5.142857142857143
e10_bars_to_half_atr,E10,response_speed,-1,2015-2019,4,15,67,0.6166666666666667,0.6013888888888889,3,2.75,4.625
e10_bars_to_half_atr,E10,response_speed,-1,2020-2026,7,32,146,0.6862836655129889,0.6722222222222223,7,3.5,5.642857142857143
