date,IPI
2022-03-18,80.918097379681342
2022-03-21,82.562597325291421
2022-03-22,85.07617710410068
2022-03-23,85.353423146865737
2022-03-24,84.801327871414287
2022-03-25,83.433950758877415
2022-03-28,79.583199041308902
2022-03-29,74.283072978660471
2022-03-30,70.075928322226545
2022-03-31,66.804897940844242
2022-04-01,61.426489460975695
2022-04-12,62.723598603567908
2022-04-13,66.581971813146581
2022-04-14,65.713638237736447
2022-04-18,70.172850694926012
2022-04-19,67.457849673411445
2022-04-20,62.977917618663113
2022-04-21,61.788145486878584
2022-04-22,63.415440579387379
2022-04-29,63.969385205639455
2022-05-02,61.155636747925456
2022-05-05,61.973099446655674
2022-05-06,62.942955450534456
2026-03-06,63.608581263573498
2026-03-09,73.228267581237773
2026-03-10,70.022620105391454
2026-03-11,66.520403246115592
2026-03-12,75.315999162075272
2026-03-13,79.245265789984657
2026-03-16,76.218282740552638
2026-03-17,77.011226022338093
2026-03-18,79.307084601860794
2026-03-19,82.234854140506798
2026-03-20,77.397770035893132
2026-03-23,76.472140234443316
2026-03-24,66.922386215150013
2026-03-25,67.645125432020535
2026-03-26,62.065495890459097
2026-03-27,69.856172629765439
2026-03-30,64.9019649248024
2026-03-31,62.702080849104355
2026-04-02,61.171797763790629
2026-04-06,71.055642558495819
2026-04-07,68.649966072370049
2026-04-08,67.123006822127621
2026-04-14,63.162813524474956
2026-04-16,60.709943474133894
2026-04-22,60.657346024136046
2026-04-23,62.375526849709402
2026-04-24,71.026809479321741
2026-04-27,68.721293996209141
2026-04-28,72.619006928961028
2026-04-29,74.7142953423037
2026-04-30,78.211638519125501
2026-05-01,76.64984728151093
2026-05-04,77.845327366024833
2026-05-05,79.809118479779826
2026-05-06,72.291203926668686
2026-05-07,65.309408836284902
2026-05-08,69.345828571861489
2026-05-11,70.194420614981965
