start_date,regime_id
2011-05-20,5
2011-06-08,8
2011-06-15,9
2011-06-16,8
2011-06-21,5
2011-06-23,4
2011-06-29,5
2011-06-30,2
2011-07-14,5
2011-07-19,6
2011-07-26,9
2011-08-02,8
2011-08-04,7
2011-10-28,8
2011-10-31,7
2011-11-03,8
2011-11-04,5
2011-11-07,8
2011-11-10,7
2011-12-27,8
2011-12-28,7
2012-01-04,8
2012-01-09,5
2012-01-12,4
2012-01-17,5
2012-01-18,2
2012-02-09,3
2012-03-02,6
2012-03-14,3
2012-04-04,6
2012-04-10,5
2012-04-12,6
2012-04-16,5
2012-04-24,8
2012-04-25,5
2012-04-30,6
2012-05-01,5
2012-05-07,4
2012-05-10,7
2012-07-05,4
2012-07-06,7
2012-07-16,8
2012-07-20,9
2012-07-23,8
2012-07-30,9
2012-07-31,8
2012-08-03,9
2012-08-17,6
2012-08-27,9
2012-08-28,6
2012-09-10,3
2012-09-25,6
2012-10-24,5
2012-11-01,2
2012-11-08,5
2012-11-15,4
2012-11-19,5
2012-11-21,2
2012-11-23,5
2012-11-27,2
2013-01-15,3
2013-01-16,2
2013-01-18,3
2013-02-27,2
2013-03-12,3
2013-03-13,2
2013-03-26,3
2013-04-02,6
2013-04-03,5
2013-04-08,4
2013-04-09,5
2013-04-11,4
2013-04-23,7
2013-04-24,4
2013-05-06,1
2013-07-19,2
2013-07-29,1
2013-07-31,2
2013-08-05,1
2013-08-12,2
2013-08-19,1
2013-08-26,2
2013-09-10,1
2013-09-19,2
2013-09-24,1
2013-12-24,2
2014-01-03,1
2014-02-07,2
2014-02-13,3
2014-02-14,6
2014-02-18,3
2014-03-13,6
2014-03-17,5
2014-03-26,8
2014-03-27,9
2014-03-31,8
2014-04-01,5
2014-04-04,8
2014-04-08,9
2014-06-04,8
2014-06-06,5
2014-06-09,6
2014-06-10,9
2014-06-11,6
2014-06-13,9
2014-06-17,6
2014-06-19,9
2014-06-20,6
2014-07-10,9
2014-07-14,6
2014-07-15,5
2014-07-17,8
2014-07-22,7
2014-07-25,8
2014-07-31,5
2014-08-01,7
2014-08-05,4
2014-08-07,7
2014-08-08,4
2014-08-12,7
2014-08-13,4
2014-08-14,7
2014-08-18,4
2014-09-15,7
2014-11-07,4
2014-11-10,7
2014-11-12,4
2014-11-13,7
2014-11-24,4
2014-11-26,7
2014-12-23,4
2014-12-24,7
2014-12-30,4
2015-01-06,7
2015-02-05,4
2015-02-13,1
2015-04-07,2
2015-04-16,3
2015-04-21,2
2015-04-24,3
