signal_date,gpi_fast20,gpi_mid63,gpi_acc,ipi_fast20,ipi_mid63,ipi_acc
2016-02-29,0.59859082,-0.17342618,0.772017,0.63053422,-0.12272179,0.75325601
2016-03-31,1.27952387,0.72137855,0.55814532,1.25136148,0.86637398,0.3849875
2016-04-29,0.34588831,0.77855834,-0.43267003,0.36027329,0.78418646,-0.42391317
2016-05-31,-0.12949307,0.05198536,-0.18147843,-0.19558646,-0.07678192,-0.11880454
2016-06-30,-0.1249966,-0.15695377,0.03195717,-0.34820405,-0.24114303,-0.10706102
2016-07-29,0.44806572,0.19917823,0.24888749,0.4165593,0.10703103,0.30952827
2016-08-31,-0.30965702,-0.00037106,-0.30928596,0.33393121,0.24321758,0.09071363
2016-09-30,-0.01139126,-0.10839619,0.09700493,0.29867663,0.10999131,0.18868532
2016-10-31,-0.08542064,-0.05135383,-0.03406681,0.1072393,0.10733026,-0.00009096
2016-11-30,1.06557042,0.46849406,0.59707636,1.17258519,0.78662646,0.38595873
2016-12-30,0.4439288,0.71772172,-0.27379292,-0.02061724,0.32399759,-0.34461483
2017-01-31,0.17456533,0.31547461,-0.14090928,-0.0598842,0.05388308,-0.11376728
2017-02-28,0.15971921,0.2980603,-0.13834109,0.41074641,0.25063409,0.16011232
2017-03-31,-0.23882728,-0.03190014,-0.20692714,-0.2610706,0.04764047,-0.30871107
2017-04-28,-0.02390214,-0.07410739,0.05020525,-0.10950382,-0.01884177,-0.09066205
2017-05-31,-0.35238633,-0.24226934,-0.11011699,-0.48195027,-0.38642333,-0.09552694
2017-06-30,0.01584491,-0.15963845,0.17548336,0.10267544,-0.03885248,0.14152792
2017-07-31,-0.01920896,-0.07947774,0.06026878,-0.17977408,-0.16964849,-0.01012559
2017-08-31,-0.35458982,-0.23899359,-0.11559623,-0.32927644,-0.29425615,-0.03502029
2017-09-29,0.65991634,0.1949693,0.46494704,0.7191246,0.16554045,0.55358415
2017-10-31,0.06396549,0.21044894,-0.14648345,0.03363504,0.22387348,-0.19023844
2017-11-30,0.06032622,0.1011365,-0.04081028,0.29880773,0.27773241,0.02107532
2017-12-29,0.09235993,0.10367474,-0.01131481,0.45612673,0.37543625,0.08069048
2018-01-31,0.0743581,0.10885121,-0.03449311,0.23167636,0.28440737,-0.05273101
2018-02-28,-0.62439184,-0.32598242,-0.29840942,-0.24764689,-0.00026307,-0.24738382
2018-03-29,-0.27673927,-0.42750749,0.15076822,-0.16493298,-0.21887349,0.05394051
2018-04-30,0.19898663,-0.20030673,0.39929336,0.3092394,-0.07287498,0.38211438
2018-05-31,0.3732431,0.08426637,0.28897673,0.4832121,0.28984582,0.19336628
2018-06-29,-0.07392562,0.12491273,-0.19883835,-0.06707792,0.19481062,-0.26188854
2018-07-31,-0.10790289,-0.08560109,-0.0223018,-0.12264365,-0.03540172,-0.08724193
2018-08-31,0.07206836,-0.03499199,0.10706035,0.27988026,0.18539223,0.09448803
2018-09-28,-0.00734094,-0.00123504,-0.0061059,0.2685188,0.26615838,0.00236042
2018-10-31,-1.11965459,-0.51355984,-0.60609475,-1.01621509,-0.45849639,-0.5577187
2018-11-30,-0.18112621,-0.46516822,0.28404201,-0.53354036,-0.53879586,0.0052555
2018-12-31,-1.73345926,-1.14907562,-0.58438364,-1.48803637,-1.02176811,-0.46626826
2019-01-31,1.67116076,0.2722713,1.39888946,1.38079935,0.23519971,1.14559964
2019-02-28,0.82677855,0.87110776,-0.04432921,0.83444753,0.81266239,0.02178514
2019-03-29,-0.09926188,0.2428356,-0.34209748,-0.10405355,0.24885516,-0.35290871
2019-04-30,0.36323635,0.19260844,0.17062791,0.37392523,0.20579491,0.16813032
2019-05-31,-1.23146682,-0.52024829,-0.71121853,-1.09855771,-0.4217633,-0.67679441
2019-06-28,0.64235344,-0.0529962,0.69534964,0.6234486,-0.06716673,0.69061533
2019-07-31,-0.12374942,-0.08944251,-0.03430691,-0.05832113,-0.02210308,-0.03621805
2019-08-30,-0.89544226,-0.51119534,-0.38424692,-0.93869561,-0.57721375,-0.36148186
2019-09-30,0.77819593,0.12147089,0.65672504,0.86249262,0.19344642,0.6690462
2019-10-31,0.10206712,0.14576885,-0.04370173,0.08500622,0.21752122,-0.132515
2019-11-29,0.15443458,0.16435713,-0.00992255,0.22191521,0.24608001,-0.0241648
2019-12-31,0.19113358,0.21413733,-0.02300375,0.13772472,0.21227286,-0.07454814
2020-01-31,-0.09586571,0.08063086,-0.17649657,-0.62460474,-0.28086591,-0.34373883
2020-02-28,-2.41222575,-0.94738431,-1.46484144,-2.03336925,-0.85739147,-1.17597778
2020-03-31,1.12792625,-0.61305649,1.74098274,0.47959169,-0.91784352,1.39743521
2020-04-30,2.30469517,1.60466679,0.70002838,1.56612358,0.98627412,0.57984946
2020-05-29,0.69628475,1.08705038,-0.39076563,0.83444614,1.00003092,-0.16558478
2020-06-30,0.59449102,0.66244569,-0.06795467,0.48526244,0.66936365,-0.18410121
2020-07-31,0.37541646,0.53368453,-0.15826807,0.54106667,0.53528421,0.00578246
2020-08-31,0.30488119,0.39298167,-0.08810048,0.43742249,0.46620522,-0.02878273
2020-09-30,-0.01352027,0.11578516,-0.12930543,0.07604219,0.1759428,-0.09990061
2020-10-30,-0.17081228,-0.07973804,-0.09107424,0.26308319,0.18851279,0.0745704
2020-11-30,1.49379809,0.64508463,0.84871346,1.46242208,0.93342252,0.52899956
2020-12-31,0.47199548,0.7753032,-0.30330772,0.61227342,0.82589331,-0.21361989
2021-01-29,0.16185152,0.3270072,-0.16515568,0.27442051,0.33461331,-0.0601928
2021-02-26,0.59024303,0.31401839,0.27622464,1.01701153,0.5876605,0.42935103
2021-03-31,-0.07352373,0.1955221,-0.26904583,0.5466866,0.66479025,-0.11810365
2021-04-30,-0.30591234,-0.00048495,-0.30542739,-0.24615128,0.16635786,-0.41250914
2021-05-28,-0.26248337,-0.25508757,-0.0073958,0.31208756,0.20403768,0.10804988
2021-06-30,0.02360488,-0.17376263,0.19736751,0.30666126,0.22906536,0.0775959
2021-07-30,-0.06313102,-0.10126803,0.03813701,-0.17766425,-0.17466789,-0.00299636
2021-08-31,-0.28251035,-0.22068933,-0.06182102,-0.17514893,-0.25112075,0.07597182
2021-09-30,-0.3072118,-0.3070268,-0.000185,0.18667438,0.12823532,0.05843906
2021-10-29,0.61956841,0.14148019,0.47808822,0.49918394,0.1940156,0.30516834
2021-11-30,-0.49202057,-0.19651022,-0.29551035,-0.31431998,-0.16816439,-0.14615559
2021-12-31,0.44226948,0.03555785,0.40671163,0.48816561,0.11987959,0.36828602
2022-01-31,-1.02117771,-0.35606571,-0.665112,-0.86323307,-0.36527341,-0.49795966
2022-02-28,0.01641979,-0.32922623,0.34564602,0.70205978,0.13969357,0.56236621
2022-03-31,-0.09025355,-0.23080382,0.14055027,1.27531133,0.73926824,0.53604309
2022-04-29,-0.62888257,-0.39295497,-0.2359276,-0.47452583,0.15527119,-0.62979702
2022-05-31,-0.10956966,-0.30555747,0.19598781,-0.24083804,-0.34959268,0.10875464
2022-06-30,-0.38030086,-0.4121789,0.03187804,-0.53485827,-0.51055992,-0.02429835
2022-07-29,0.99165887,0.22222988,0.76942899,0.62387324,0.04381816,0.58005508
2022-08-31,-0.48139425,-0.10227414,-0.37912011,-0.12492022,-0.01809778,-0.10682244
2022-09-30,-0.43847864,-0.36137628,-0.07710236,-0.67118698,-0.47721555,-0.19397143
2022-10-31,0.66107074,0.14677738,0.51429336,0.6099177,0.14068563,0.46923207
2022-11-30,0.24218957,0.36612467,-0.1239351,-0.34612595,-0.00406035,-0.3420656
2022-12-30,-0.25868284,-0.08323408,-0.17544876,-0.37288615,-0.29493913,-0.07794702
2023-01-31,0.75826149,0.26968686,0.48857463,0.56934649,0.18656503,0.38278146
2023-02-28,-0.0142777,0.20430372,-0.21858142,0.20351016,0.21529389,-0.01178373
2023-03-31,0.19255493,0.26143859,-0.06888366,-0.14619429,-0.15447804,0.00828375
2023-04-28,0.11210532,0.09203537,0.02006995,0.34653549,0.14620994,0.20032555
2023-05-31,-0.34172151,-0.04660665,-0.29511486,-0.54348733,-0.21332814,-0.33015919
2023-06-30,0.5793988,0.09413509,0.48526371,0.54859165,0.05864405,0.4899476
2023-07-31,-0.05556596,0.12021047,-0.17577643,0.4424652,0.35238669,0.09007851
2023-08-31,-0.57923357,-0.23638161,-0.34285196,-0.46682922,-0.17626828,-0.29056094
2023-09-29,-0.33327878,-0.49509598,0.1618172,-0.20757593,-0.39257242,0.18499649
2023-10-31,-0.48252344,-0.35710756,-0.12541588,-0.81807252,-0.57967933,-0.23839319
2023-11-30,1.65279317,0.47701272,1.17578045,1.4287561,0.45209102,0.97666508
2023-12-29,0.5404467,0.83082754,-0.29038084,0.22007283,0.68844552,-0.46837269
2024-01-31,0.2937115,0.4652311,-0.1715196,-0.13470738,0.03361487,-0.16832225
2024-02-29,0.10362231,0.30949274,-0.20587043,0.59504257,0.27924094,0.31580163
2024-03-28,-0.03355219,0.12600198,-0.15955417,0.36236813,0.37157375,-0.00920562
2024-04-30,-0.57035645,-0.37881814,-0.19153831,-0.45418023,-0.26389669,-0.19028354
2024-05-31,0.50641461,0.01118472,0.49522989,0.45596358,0.07156027,0.38440331
2024-06-28,-0.07357025,-0.02943611,-0.04413414,0.11922203,0.18997437,-0.07075234
2024-07-31,-0.53286686,-0.25159219,-0.28127467,-0.38364943,-0.24584735,-0.13780208
2024-08-30,-0.21261322,-0.3721154,0.15950218,-0.32072811,-0.38827088,0.06754277
2024-09-30,0.82056118,0.20166312,0.61889806,0.50013957,0.12585208,0.37428749
2024-10-31,-0.41610829,-0.05571375,-0.36039454,-0.13175574,-0.04567063,-0.08608511
2024-11-29,0.41536933,0.10939268,0.30597665,-0.08494084,-0.01146995,-0.07347089
2024-12-31,-0.43194451,-0.17190809,-0.26003642,-0.67765075,-0.39305339,-0.28459736
2025-01-31,-0.30943392,-0.29119863,-0.01823529,-0.23057977,-0.37904217,0.1484624
2025-02-28,-0.56696488,-0.46223239,-0.10473249,-0.60471417,-0.51419042,-0.09052375
2025-03-31,-0.49679302,-0.47413109,-0.02266193,-0.47583798,-0.49117312,0.01533514
